Nakýt Akým Kalemleri,2023/9,2023/6,2022/12,2022/6,2021/12
Ýþletme Faaliyetlerinden Nakit Akýþlarý,953218.0,957288.0,931865.0,-24164.0,306573.0
Dönem Karý (Zararý),198255.0,172003.0,225295.0,2292.0,28073.0
Dönem Net Karý (Zararý) Mutabakatý Ýle Ýlgili Düzeltmeler,1051327.0,1042090.0,958864.0,5753.0,326505.0
Amortisman ve Ýtfa Gideri Ýle Ýlgili Düzeltmeler,3562.0,2409.0,6141.0,3692.0,5349.0
Deðer Düþüklüðü (Ýptali) Ýle Ýlgili Düzeltmeler,6299.0,,,,
Karþýlýklar Ýle Ýlgili Düzeltmeler,23564.0,10712.0,14751.0,1466.0,21593.0
Faiz (Gelirleri) ve Giderleri Ýle Ýlgili Düzeltmeler,2212.0,3819.0,2249.0,1632.0,-3375.0
Gerçeðe Uygun Deðer Kayýplarý (Kazançlarý) Ýle Ýlgili Düzeltmeler,,0.0,1039122.0,,865873.0
Özkaynak Yöntemiyle Deðerlenen Yatýrýmlarýn Daðýtýlmamýþ Karlarý ile Ýlgili Düzeltmeler,0,,,,
Vergi (Geliri) Gideri Ýle Ýlgili Düzeltmeler,299102.0,0.0,106459.0,-13972.0,69850.0
Duran Varlýklarýn Elden Çýkarýlmasýndan Kaynaklanan Kayýplar (Kazançlar) Ýle Ýlgili Düzeltmeler,0,,,,
Kar (Zarar) Mutabakatý Ýle Ýlgili Diðer Düzeltmeler,-1038.0,,,,
Ýþletme Sermayesinde Gerçekleþen Deðiþimler,3836.0,0.0,909232.0,-296116.0,-256727.0
Ticari Alacaklardaki Azalýþ (Artýþ) ile Ýlgili Düzeltmeler,-251995.0,-32090.0,-361791.0,175301.0,220697.0
Faaliyetlerle Ýlgili Diðer Alacaklardaki Azalýþ (Artýþ) ile Ýlgili Düzeltmeler,-290898.0,-17221.0,-1246.0,-69189.0,-76702.0
Müþteri Sözleþmelerinden Doðan Varlýklardaki Azalýþ (Artýþ) Ýle Ýlgili Düzeltmeler,0,,,,
Stoklardaki Azalýþlar (Artýþlar) Ýle Ýlgili Düzeltmeler,-3471.0,-75929.0,-11679.0,0.0,10303.0
Peþin Ödenmiþ Giderlerdeki Azalýþ (Artýþ),,-2463.0,-18052.0,-5960.0,-2957.0
Ticari Borçlardaki Artýþ (Azalýþ) ile Ýlgili Düzeltmeler,-311733.0,-28876.0,-42194.0,-3239.0,-29038.0
Müþteri Sözleþmelerinden Doðan Yükümlülüklerdeki Artýþ (Azalýþ) Ýle Ýlgili Düzeltmeler,0,,,,
Faaliyetler ile Ýlgili Diðer Borçlardaki Artýþ (Azalýþ) ile Ýlgili Düzeltmeler,1483.0,1649.0,34547.0,-22307.0,0.0
Ýþletme Sermayesinde Gerçekleþen Diðer Artýþ (Azalýþ) ile Ýlgili Düzeltmeler,-37161.0,,,,-68481.0
Faaliyetlerden Elde Edilen Nakit Akýþlarý,64037.0,,,,
Vergi Ýadeleri (Ödemeleri),71850.0,,-8,,5
Diðer Karþýlýklara Ýliþkin Ödemeler,,-8790.0,-346331.0,642.0,-127
Vergi Ýadeleri (Ödemeleri),214.0,,-8,,5
Diðer Nakit Giriþleri (Çýkýþlarý),-77,,,,
Yatýrým Faaliyetlerinden Kaynaklanan Nakit Akýþlarý,-890.0,2573.0,953466.0,-170.0,-1.0
Maddi ve Maddi Olmayan Duran Varlýklarýn Satýþýndan Kaynaklanan Nakit Giriþleri,0,,,,
Maddi ve Maddi Olmayan Duran Varlýklarýn Alýmýndan Kaynaklanan Nakit Çýkýþlarý,-8.0,,,,
Yatýrým Amaçlý Gayrimenkul Alýmýndan Kaynaklanan Nakit Çýkýþlarý,5.0,,,,
Satýþ Amacýyla Elde Tutulan Duran Varlýk Satýþlarýndan Kaynaklanan Nakit Giriþleri,-20169.0,,,,
Satýþ Amacýyla Elde Tutulan Duran Varlýk Alýmlarýndan Nakit Çýkýþlarý,0,,,,
Verilen Nakit Avans ve Borçlar,0,,,,
Verilen Nakit Avans ve Borçlardan Geri Ödemeler,0,,,,
Diðer Nakit Giriþleri (Çýkýþlarý),23410.0,,,,
Finansman Faaliyetlerinden Nakit Akýþlarý,,,3707.0,-127.0,532
Pay ve Diðer Özkaynaða Dayalý Araçlarýn Ýhracýndan Kaynaklanan Nakit Giriþleri,0,,,,
Ýþletmenin Kendi Paylarýný ve Diðer Özkaynaða Dayalý Araçlarýný Satmasýndan Kaynaklanan Nakit Giriþleri,,,-170.0,,265
Borçlanmadan Kaynaklanan Nakit Giriþleri,-1.0,-8.0,5.0,-77.0,135
Ödenen Faiz,-952951.0,-957032.0,-1937733.0,,-288
Diðer Nakit Giriþleri (Çýkýþlarý),0,,,,
Yabancý Para Çevrim Farklarýnýn Etkisinden Önce Nakit ve Nakit Benzerlerindeki Net Artýþ (Azalýþ),304,,,,
Nakit ve Nakit Benzerlerindeki Net Artýþ (Azalýþ),,,,27446.0,-314024.0
Dönem Baþý Nakit ve Nakit Benzerleri,,0.0,-853227.0,-87324.0,160234.0
Dönem Sonu Nakit ve Nakit Benzerleri,,0.0,0.0,0.0,-172634.0
