Bilanço Kalemleri,2023/9,2023/6,2022/12,2022/9,2022/6
Dönen Varlýklar,,,,,Bin TRY
Nakit ve Nakit Benzerleri,34729.0,29244.0,34181.0,,
Finansal Yatýrýmlar,,,249,,
Ticari Alacaklar,48.0,327.0,249.0,,
Diðer Alacaklar,429851.0,446180.0,341983.0,,
Stoklar,28905.0,18194.0,7981.0,,
Peþin Ödenmiþ Giderler,446006.0,322072.0,206407.0,,
Cari Dönem Vergisiyle Ýlgili Varlýklar,,,322,,
Diðer Dönen Varlýklar,60063.0,68007.0,36727.0,,
Toplam Dönen Varlýklar,23.0,25.0,322.0,,
Duran Varlýklar,,,,,Bin TRY
Yatýrým Amaçlý Gayrimenkuller,47545.0,47580.0,22622.0,,
Maddi Duran Varlýklar,1047169.0,931628.0,650472.0,,
Kullaným Hakký Varlýklarý,153240.0,2799.0,101810.0,,
Maddi Olmayan Duran Varlýklar,505118.0,81682.0,70914.0,,
Peþin Ödenmiþ Giderler,7139.0,4788.0,1115.0,,
Ertelenmiþ Vergi Varlýðý,6224.0,6542.0,6442.0,,
Toplam Duran Varlýklar,10460.0,8873.0,8923.0,,
Toplam Varlýklar,11598.0,13140.0,12612.0,,
Kýsa Vadeli Yükümlülükler,,,,,Bin TRY
Finansal Borçlar,693778.0,117825.0,201816.0,,
Ticari Borçlar,1740947.0,1049453.0,852288.0,,
Çalýþanlara Saðlanan Faydalar Kapsamýnda Borçlar,256917.0,226362.0,115580.0,,
Diðer Borçlar,354220.0,316733.0,205336.0,,
Ertelenmiþ Gelirler,5876.0,4120.0,2613.0,,
Dönem Karý Vergi Yükümlülüðü,15866.0,16478.0,30280.0,,
Kýsa Vadeli Karþýlýklar,47710.0,45405.0,32367.0,,
Toplam Kýsa Vadeli Yükümlülükler,12943.0,9611.0,7296.0,,
Uzun Vadeli Yükümlülükler,,,,,Bin TRY
Finansal Borçlar,12049.0,9463.0,8185.0,,
Uzun vadeli Karþýlýklar,705581.0,628173.0,401656.0,,
Ertelenmiþ Vergi Yükümlülüðü,132191.0,99206.0,79111.0,,
Toplam Uzun Vadeli Yükümlülükler,2620.0,1417.0,2235.0,,
Özkaynaklar,,,,,Bin TRY
Ana Ortaklýða Ait Özkaynaklar,116700.0,10308.0,19467.0,,
Ödenmiþ Sermaye,251511.0,110931.0,100814.0,,
Kar veya Zararda Yeniden Sýnýflandýrýlmayacak Birikmiþ Diðer Kapsamlý Gelirler (Giderler),783663.0,,310035.0,,
Kar veya Zararda Yeniden Sýnýflandýrýlacak Birikmiþ Diðer Kapsamlý Gelirler (Giderler),349673.0,,,,
Kardan Ayrýlan Kýsýtlanmýþ Yedekler,220000.0,220000.0,50000.0,,
Diðer Özkaynak Paylarý,,324146.0,-864.0,,
Geçmiþ Yýllar Kar/Zararlarý,-1359.0,15705.0,11600.0,,
Dönem Net Kar/Zararý,10847.0,8867.0,22282.0,,
Azýnlýk Paylarý,,,146,,
Toplam Özkaynaklar,10174.0,109258.0,21012.0,,
Toplam Kaynaklar,139814.0,104119.0,36759.0,,
