Nakýt Akým Kalemleri,2023/9,2023/6,2022/12,2022/9,2022/6
Ýþletme Faaliyetlerinden Nakit Akýþlarý,-156709.0,-130939.0,-6361.0,-59342.0,-27305.0
Dönem Karý (Zararý),104094.0,36791.0,106518.0,61331.0,11112.0
Dönem Net Karý (Zararý) Mutabakatý Ýle Ýlgili Düzeltmeler,-17904.0,6636.0,11433.0,-21687.0,4271.0
Amortisman ve Ýtfa Gideri Ýle Ýlgili Düzeltmeler,8655.0,4633.0,5259.0,4183.0,2654.0
Deðer Düþüklüðü (Ýptali) Ýle Ýlgili Düzeltmeler,2772.0,,167.0,25,
Karþýlýklar Ýle Ýlgili Düzeltmeler,361.0,,25.0,,
Faiz (Gelirleri) ve Giderleri Ýle Ýlgili Düzeltmeler,3936.0,,,,
Gerçeðe Uygun Deðer Kayýplarý (Kazançlarý) Ýle Ýlgili Düzeltmeler,955.0,,,3086.0,
Vergi (Geliri) Gideri Ýle Ýlgili Düzeltmeler,688.0,,539.0,2448.0,
Ýþletme Sermayesinde Gerçekleþen Deðiþimler,588.0,265.0,633.0,121.0,-51430.0
Finansal Yatýrýmlardaki Azalýþ (Artýþ),202,,,-32201.0,
Ticari Alacaklardaki Azalýþ (Artýþ) ile Ýlgili Düzeltmeler,15714.0,292.0,2462.0,4985.0,956.0
Faaliyetlerle Ýlgili Diðer Alacaklardaki Azalýþ (Artýþ) ile Ýlgili Düzeltmeler,-248844.0,-174366.0,-124313.0,-97439.0,-42688.0
Stoklardaki Azalýþlar (Artýþlar) Ýle Ýlgili Düzeltmeler,202.0,-17154.0,-90640.0,-104364.0,-126936.0
Peþin Ödenmiþ Giderlerdeki Azalýþ (Artýþ),-25055.0,6497.0,-20924.0,-10213.0,-1529.0
Ticari Borçlardaki Artýþ (Azalýþ) ile Ýlgili Düzeltmeler,-7719.0,-4627.0,-239599.0,-115665.0,-109801.0
Çalýþanlara Saðlanan Faydalar Kapsamýnda Borçlardaki Artýþ (Azalýþ),-76403.0,-62517.0,-24873.0,,
Faaliyetler ile Ýlgili Diðer Borçlardaki Artýþ (Azalýþ) ile Ýlgili Düzeltmeler,-31230.0,-24057.0,-28498.0,-23274.0,148883.0
Ertelenmiþ Gelirlerdeki Artýþ (Azalýþ),111397.0,98668.0,59536.0,44643.0,3263.0
Ýþletme Sermayesinde Gerçekleþen Diðer Artýþ (Azalýþ) ile Ýlgili Düzeltmeler,1508.0,2048.0,695.0,221.0,-14414.0
Faaliyetlerden Elde Edilen Nakit Akýþlarý,-13801.0,,,21679.0,
Vergi Ýadeleri (Ödemeleri),-2791.0,-1344.0,15344.0,13039.0,24135.0
Vergi Ýadeleri (Ödemeleri),15713.0,25621.0,-26087.0,-24958.0,-8272.0
Yatýrým Faaliyetlerinden Kaynaklanan Nakit Akýþlarý,-15762.0,-27582.0,-162655.0,-57795.0,5946.0
Maddi ve Maddi Olmayan Duran Varlýklarýn Satýþýndan Kaynaklanan Nakit Giriþleri,,348,,0,
Maddi ve Maddi Olmayan Duran Varlýklarýn Alýmýndan Kaynaklanan Nakit Çýkýþlarý,2611.0,4706.0,-1547.0,-1534.0,5946.0
Finansman Faaliyetlerinden Nakit Akýþlarý,2611.0,4706.0,-1547.0,-1534.0,-30206.0
Borçlanmadan Kaynaklanan Nakit Giriþleri,-13535.0,-26367.0,-9338.0,-1741.0,730.0
Kira Sözleþmelerinden Kaynaklanan Borç Ödemelerine Ýliþkin Nakit Çýkýþlarý,348.0,,,0.0,
Diðer Nakit Giriþleri (Çýkýþlarý),0,,,-30936.0,
Yabancý Para Çevrim Farklarýnýn Etkisinden Önce Nakit ve Nakit Benzerlerindeki Net Artýþ (Azalýþ),-13883.0,-26367.0,-9338.0,-1741.0,182302.0
Yabancý Para Çevrim Farklarýnýn Nakit ve Nakit Benzerleri Üzerindeki Etkisi,125513.0,43822.0,64237.0,55582.0,186530.0
Nakit ve Nakit Benzerlerindeki Net Artýþ (Azalýþ),,126851.0,54557.0,75259.0,65949.0
Dönem Baþý Nakit ve Nakit Benzerleri,,-4228.0,-1022.0,,0.0
Dönem Sonu Nakit ve Nakit Benzerleri,,-10000.0,-4613.0,,-16349.0
